Groups:
camcap:camcap_1|data_in_R[7..0] =, camcap:camcap_1|data_in_R[7], camcap:camcap_1|data_in_R[6], camcap:camcap_1|data_in_R[5], camcap:camcap_1|data_in_R[4], camcap:camcap_1|data_in_R[3], camcap:camcap_1|data_in_R[2], camcap:camcap_1|data_in_R[1], camcap:camcap_1|data_in_R[0],  hex

Data:
time unit: ps, camcap:camcap_1|data_in_R[7..0], camcap:camcap_1|data_in_R[7], camcap:camcap_1|data_in_R[6], camcap:camcap_1|data_in_R[5], camcap:camcap_1|data_in_R[4], camcap:camcap_1|data_in_R[3], camcap:camcap_1|data_in_R[2], camcap:camcap_1|data_in_R[1], camcap:camcap_1|data_in_R[0], camcap:camcap_1|trig_0_R, 
0, XX, X, X, X, X, X, X, X, X, X, 
20, BF, 1, 0, 1, 1, 1, 1, 1, 1, 0, 
40, BE, 1, 0, 1, 1, 1, 1, 1, 0, 0, 
60, BD, 1, 0, 1, 1, 1, 1, 0, 1, 0, 
80, BC, 1, 0, 1, 1, 1, 1, 0, 0, 0, 
100, BB, 1, 0, 1, 1, 1, 0, 1, 1, 0, 
120, BA, 1, 0, 1, 1, 1, 0, 1, 0, 0, 
140, B9, 1, 0, 1, 1, 1, 0, 0, 1, 0, 
160, B8, 1, 0, 1, 1, 1, 0, 0, 0, 0, 
180, B7, 1, 0, 1, 1, 0, 1, 1, 1, 0, 
200, B6, 1, 0, 1, 1, 0, 1, 1, 0, 0, 
220, B5, 1, 0, 1, 1, 0, 1, 0, 1, 0, 
240, B4, 1, 0, 1, 1, 0, 1, 0, 0, 0, 
260, B3, 1, 0, 1, 1, 0, 0, 1, 1, 0, 
280, B2, 1, 0, 1, 1, 0, 0, 1, 0, 0, 
300, B1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 
320, B0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 
340, AF, 1, 0, 1, 0, 1, 1, 1, 1, 0, 
360, AE, 1, 0, 1, 0, 1, 1, 1, 0, 0, 
380, AD, 1, 0, 1, 0, 1, 1, 0, 1, 0, 
400, AC, 1, 0, 1, 0, 1, 1, 0, 0, 0, 
420, AB, 1, 0, 1, 0, 1, 0, 1, 1, 0, 
440, AA, 1, 0, 1, 0, 1, 0, 1, 0, 0, 
460, A9, 1, 0, 1, 0, 1, 0, 0, 1, 0, 
480, A8, 1, 0, 1, 0, 1, 0, 0, 0, 0, 
500, A7, 1, 0, 1, 0, 0, 1, 1, 1, 0, 
520, A6, 1, 0, 1, 0, 0, 1, 1, 0, 0, 
540, A5, 1, 0, 1, 0, 0, 1, 0, 1, 0, 
560, A4, 1, 0, 1, 0, 0, 1, 0, 0, 0, 
580, A3, 1, 0, 1, 0, 0, 0, 1, 1, 0, 
600, A2, 1, 0, 1, 0, 0, 0, 1, 0, 0, 
620, A1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 
640, A0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 
660, 9F, 1, 0, 0, 1, 1, 1, 1, 1, 0, 
680, 9E, 1, 0, 0, 1, 1, 1, 1, 0, 0, 
700, 9D, 1, 0, 0, 1, 1, 1, 0, 1, 0, 
720, 9C, 1, 0, 0, 1, 1, 1, 0, 0, 0, 
740, 9B, 1, 0, 0, 1, 1, 0, 1, 1, 0, 
760, 9A, 1, 0, 0, 1, 1, 0, 1, 0, 0, 
780, 99, 1, 0, 0, 1, 1, 0, 0, 1, 0, 
800, 98, 1, 0, 0, 1, 1, 0, 0, 0, 0, 
820, 97, 1, 0, 0, 1, 0, 1, 1, 1, 0, 
840, 96, 1, 0, 0, 1, 0, 1, 1, 0, 0, 
860, 95, 1, 0, 0, 1, 0, 1, 0, 1, 0, 
880, 94, 1, 0, 0, 1, 0, 1, 0, 0, 0, 
900, 93, 1, 0, 0, 1, 0, 0, 1, 1, 0, 
920, 92, 1, 0, 0, 1, 0, 0, 1, 0, 0, 
940, 91, 1, 0, 0, 1, 0, 0, 0, 1, 0, 
960, 90, 1, 0, 0, 1, 0, 0, 0, 0, 0, 
980, 8F, 1, 0, 0, 0, 1, 1, 1, 1, 0, 
1000, 8E, 1, 0, 0, 0, 1, 1, 1, 0, 0, 
1020, 8D, 1, 0, 0, 0, 1, 1, 0, 1, 0, 
1040, 8C, 1, 0, 0, 0, 1, 1, 0, 0, 0, 
1060, 8B, 1, 0, 0, 0, 1, 0, 1, 1, 0, 
1080, 8A, 1, 0, 0, 0, 1, 0, 1, 0, 0, 
1100, 89, 1, 0, 0, 0, 1, 0, 0, 1, 0, 
1120, 88, 1, 0, 0, 0, 1, 0, 0, 0, 0, 
1140, 87, 1, 0, 0, 0, 0, 1, 1, 1, 0, 
1160, 86, 1, 0, 0, 0, 0, 1, 1, 0, 0, 
1180, 85, 1, 0, 0, 0, 0, 1, 0, 1, 0, 
1200, 84, 1, 0, 0, 0, 0, 1, 0, 0, 0, 
1220, 83, 1, 0, 0, 0, 0, 0, 1, 1, 0, 
1240, 82, 1, 0, 0, 0, 0, 0, 1, 0, 0, 
1260, 81, 1, 0, 0, 0, 0, 0, 0, 1, 0, 
1280, 80, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
